MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,COEMISSIONS,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_AS4,TRANSMISSION_AS5,TRANSMISSION_M5,TRANSMISSION_M6,FUEL_E,FUEL_N,FUEL_X,FUEL_Z,scaled_fuel_consumption,scaled_engine_size
VOLKSWAGEN,GTI,COMPACT,2.0,4,11.2,228,False,False,False,False,True,False,False,False,True,False,0.29439252336448596,0.32258064516129037
DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,4.7,8,18.8,382,False,False,False,False,True,False,False,False,True,False,0.6495327102803738,1.1935483870967745
GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.8,8,18.9,373,False,False,False,False,True,False,False,False,True,False,0.6542056074766355,1.2258064516129032
FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,18.5,380,True,False,False,False,False,False,False,False,True,False,0.6355140186915889,1.1612903225806452
FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.2,6,17.3,359,True,False,False,False,False,False,False,False,True,False,0.5794392523364487,1.0322580645161292
VOLKSWAGEN,JETTA,COMPACT,2.0,4,11.9,244,True,False,False,False,False,False,False,False,True,False,0.3271028037383178,0.32258064516129037
TOYOTA,CELICA,SUBCOMPACT,1.8,4,11.6,237,False,False,True,False,False,False,False,False,False,True,0.3130841121495327,0.2580645161290323
JEEP,TJ 4X4,SUV,2.5,4,14.7,315,False,False,False,False,True,False,False,False,True,False,0.45794392523364486,0.48387096774193555
VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4,8.1,192,True,False,False,False,False,False,False,False,False,False,0.14953271028037382,0.2903225806451613
FORD,E150 CLUB WAGON,VAN - PASSENGER,4.6,8,18.8,382,True,False,False,False,False,False,False,False,True,False,0.6495327102803738,1.1612903225806452
ISUZU,HOMBRE,PICKUP TRUCK - SMALL,4.3,6,15.4,313,True,False,False,False,False,False,False,False,True,False,0.4906542056074767,1.0645161290322582
CHEVROLET,IMPALA,FULL-SIZE,3.8,6,13.5,262,True,False,False,False,False,False,False,False,True,False,0.40186915887850466,0.903225806451613
CHEVROLET,METRO,SUBCOMPACT,1.0,3,7.1,147,False,False,False,False,True,False,False,False,True,False,0.10280373831775698,0.0
FORD,EXPLORER OHV,SUV,4.0,6,17.1,357,False,True,False,False,False,False,False,False,True,False,0.5700934579439253,0.9677419354838711
DODGE,RAM 2500 VAN NGV,VAN - CARGO,5.2,8,20.8,353,True,False,False,False,False,False,False,True,False,False,0.7429906542056075,1.3548387096774195
ACURA,NSX,SUBCOMPACT,3.0,6,15.2,306,False,False,True,False,False,False,False,False,False,True,0.48130841121495327,0.6451612903225807
FORD,EXPEDITION,SUV,5.4,8,20.2,403,True,False,False,False,False,False,False,False,True,False,0.7149532710280374,1.4193548387096777
OLDSMOBILE,ALERO,COMPACT,3.4,6,13.6,262,True,False,False,False,False,False,False,False,True,False,0.40654205607476634,0.7741935483870969
HONDA,CR-V,SUV,2.0,4,12.5,267,True,False,False,False,False,False,False,False,True,False,0.35514018691588783,0.32258064516129037
NISSAN,FRONTIER V6 4X4,PICKUP TRUCK - STANDARD,3.3,6,16.2,350,False,False,False,False,True,False,False,False,True,False,0.5280373831775701,0.7419354838709677
HONDA,ACCORD EX/LX,MID-SIZE,2.3,4,11.8,237,True,False,False,False,False,False,False,False,True,False,0.3224299065420561,0.41935483870967744
GMC,SONOMA,PICKUP TRUCK - SMALL,2.2,4,12.2,246,False,False,False,False,True,False,False,False,True,False,0.3411214953271028,0.3870967741935485
DAEWOO,LEGANZA,COMPACT,2.2,4,13.1,258,False,False,False,False,True,False,False,False,True,False,0.38317757009345793,0.3870967741935485
CHRYSLER,INTREPID,FULL-SIZE,2.7,6,13.2,258,False,False,True,False,False,False,False,False,True,False,0.3878504672897196,0.5483870967741936
DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.9,8,21.6,426,True,False,False,False,False,False,False,False,True,False,0.7803738317757011,1.580645161290323
VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,2.0,4,11.2,228,False,False,False,False,True,False,False,False,True,False,0.29439252336448596,0.32258064516129037
BMW,528i,COMPACT,2.8,6,13.0,258,False,False,False,False,True,False,False,False,False,True,0.37850467289719625,0.5806451612903226
CHEVROLET,ASTRO CARGO,VAN - CARGO,4.3,6,16.2,336,True,False,False,False,False,False,False,False,True,False,0.5280373831775701,1.0645161290322582
TOYOTA,CELICA,SUBCOMPACT,1.8,4,11.6,230,False,False,False,False,False,True,False,False,False,True,0.3130841121495327,0.2580645161290323
CADILLAC,CATERA,MID-SIZE,3.0,6,14.7,294,True,False,False,False,False,False,False,False,False,True,0.45794392523364486,0.6451612903225807
AUDI,A4,COMPACT,2.8,6,14.6,285,False,True,False,False,False,False,False,False,False,True,0.4532710280373832,0.5806451612903226
FORD,TAURUS #,MID-SIZE,3.0,6,13.5,265,True,False,False,False,False,False,False,False,True,False,0.40186915887850466,0.6451612903225807
GMC,K1500 YUKON 4X4,SUV,5.7,8,21.2,430,True,False,False,False,False,False,False,False,True,False,0.7616822429906541,1.5161290322580647
TOYOTA,CAMRY,MID-SIZE,2.2,4,11.4,228,False,False,False,False,True,False,False,False,True,False,0.3037383177570094,0.3870967741935485
SUBARU,FORESTER AWD,SUV,2.5,4,12.2,246,True,False,False,False,False,False,False,False,True,False,0.3411214953271028,0.48387096774193555
JAGUAR,VANDEN PLAS,MID-SIZE,4.0,8,15.5,306,False,True,False,False,False,False,False,False,False,True,0.4953271028037383,0.9677419354838711
VOLKSWAGEN,GOLF,COMPACT,1.8,4,11.1,225,False,False,False,False,True,False,False,False,False,True,0.2897196261682243,0.2580645161290323
KIA,SPORTAGE 4X4,SUV,2.0,4,13.4,294,True,False,False,False,False,False,False,False,True,False,0.39719626168224303,0.32258064516129037
CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,16.7,343,True,False,False,False,False,False,False,False,True,False,0.5514018691588785,1.3870967741935485
LEXUS,GS 400,MID-SIZE,4.0,8,15.0,299,False,True,False,False,False,False,False,False,False,True,0.4719626168224299,0.9677419354838711
HONDA,ODYSSEY,MINIVAN,3.5,6,14.9,292,True,False,False,False,False,False,False,False,True,False,0.4672897196261683,0.8064516129032259
