MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,COEMISSIONS,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_AS4,TRANSMISSION_AS5,TRANSMISSION_M5,TRANSMISSION_M6,FUEL_E,FUEL_N,FUEL_X,FUEL_Z,scaled_fuel_consumption,scaled_engine_size,scaled_coemissions
VOLKSWAGEN,GTI,COMPACT,2.0,4,11.2,228,False,False,False,False,True,False,False,False,True,False,0.29439252336448596,0.14285714285714285,0.3171355498721228
DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,4.7,8,18.8,382,False,False,False,False,True,False,False,False,True,False,0.6495327102803738,0.5285714285714286,0.710997442455243
GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.8,8,18.9,373,False,False,False,False,True,False,False,False,True,False,0.6542056074766355,0.5428571428571428,0.6879795396419437
FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,18.5,380,True,False,False,False,False,False,False,False,True,False,0.6355140186915889,0.5142857142857142,0.7058823529411765
FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.2,6,17.3,359,True,False,False,False,False,False,False,False,True,False,0.5794392523364487,0.4571428571428572,0.6521739130434783
VOLKSWAGEN,JETTA,COMPACT,2.0,4,11.9,244,True,False,False,False,False,False,False,False,True,False,0.3271028037383178,0.14285714285714285,0.35805626598465473
TOYOTA,CELICA,SUBCOMPACT,1.8,4,11.6,237,False,False,True,False,False,False,False,False,False,True,0.3130841121495327,0.1142857142857143,0.340153452685422
JEEP,TJ 4X4,SUV,2.5,4,14.7,315,False,False,False,False,True,False,False,False,True,False,0.45794392523364486,0.21428571428571427,0.5396419437340153
VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4,8.1,192,True,False,False,False,False,False,False,False,False,False,0.14953271028037382,0.12857142857142856,0.22506393861892582
FORD,E150 CLUB WAGON,VAN - PASSENGER,4.6,8,18.8,382,True,False,False,False,False,False,False,False,True,False,0.6495327102803738,0.5142857142857142,0.710997442455243
ISUZU,HOMBRE,PICKUP TRUCK - SMALL,4.3,6,15.4,313,True,False,False,False,False,False,False,False,True,False,0.4906542056074767,0.4714285714285714,0.5345268542199488
